target,text,text,label
multi-touch gestures ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the MASK and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .",2
tracking area ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the multi-touch gestures and large MASK make having an external mouse unnecessary ( unless you 're gaming ) .",2
external mouse ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the multi-touch gestures and large tracking area make having an MASK unnecessary ( unless you 're gaming ) .",1
gaming ,"However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're gaming ) .","However , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you 're MASK ) .",1
suite of software ,I love the way the entire suite of software works together .,I love the way the entire MASK works together .,2
speed ,The speed is incredible and I am more than satisfied .,The MASK is incredible and I am more than satisfied .,2
Windows 7 ,This laptop meets every expectation and Windows 7 is great !,This laptop meets every expectation and MASK is great !,2
usb devices ,I can barely use any usb devices because they will not stay connected properly .,I can barely use any MASK because they will not stay connected properly .,0
software ,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,When I finally had everything running with all my MASK installed I plugged in my droid to recharge and the system crashed .,1
system ,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed .,When I finally had everything running with all my software installed I plugged in my droid to recharge and the MASK crashed .,0
Microsoft office for the mac ,"One suggestion I do have , is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC .","One suggestion I do have , is to not bother getting MASK expecting it will work just like you knew it to on a PC .",0
syncing ,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it 's a snap .,Pairing it with an iPhone is a pure pleasure - talk about painless MASK - used to take me forever - now it 's a snap .,2
30 '' HD Monitor ,"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !","I also got the added bonus of a MASK , which really helps to extend my screen and keep my eyes fresh !",2
screen ,"I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my screen and keep my eyes fresh !","I also got the added bonus of a 30 '' HD Monitor , which really helps to extend my MASK and keep my eyes fresh !",1
boot up ,The machine is slow to boot up and occasionally crashes completely .,The machine is slow to MASK and occasionally crashes completely .,0
service ,"After paying several hundred dollars for this service , it is frustrating that you can not get help after hours .","After paying several hundred dollars for this MASK , it is frustrating that you can not get help after hours .",0
operating system ,I love the operating system and the preloaded software .,I love the MASK and the preloaded software .,2
preloaded software ,I love the operating system and the preloaded software .,I love the operating system and the MASK .,2
price ,The best thing about this laptop is the price along with some of the newer features .,The best thing about this laptop is the MASK along with some of the newer features .,2
features ,The best thing about this laptop is the price along with some of the newer features .,The best thing about this laptop is the price along with some of the newer MASK .,2
clock in BIOS setup ,"After numerous attempts of trying ( including setting the clock in BIOS setup directly ) , I gave up ( I am a techie ) .","After numerous attempts of trying ( including setting the MASK directly ) , I gave up ( I am a techie ) .",0
WARRANTY SERVICE ,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY .,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN MASK IS OUT OF COUNTRY .,0
brand ,but now i have realized its a problem with this brand .,but now i have realized its a problem with this MASK .,0
warranty ,I sent it back to Toshiba twice they covered it under the warranty .,I sent it back to Toshiba twice they covered it under the MASK .,2
features ,I was looking for a mac which is portable and has all the features that I was looking for .,I was looking for a mac which is portable and has all the MASK that I was looking for .,2
fan ,Also kinda loud when the fan was running .,Also kinda loud when the MASK was running .,0
Customer Service number ,"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .","In desparation , I called their MASK and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .",1
warranty ,"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .","In desparation , I called their Customer Service number and was told that my MASK had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .",0
talking to a technician ,"In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( `` have your credit card ready '' ) .","In desparation , I called their Customer Service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of MASK would cost me ( `` have your credit card ready '' ) .",0
hard disc ,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,There also seemed to be a problem with the MASK as certain times windows loads but claims to not be able to find any drivers or files .,0
windows ,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,There also seemed to be a problem with the hard disc as certain times MASK loads but claims to not be able to find any drivers or files .,0
drivers ,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any MASK or files .,1
Drivers ,Drivers updated ok but the BIOS update froze the system up and the computer shut down .,MASK updated ok but the BIOS update froze the system up and the computer shut down .,2
BIOS update ,Drivers updated ok but the BIOS update froze the system up and the computer shut down .,Drivers updated ok but the MASK froze the system up and the computer shut down .,0
system ,Drivers updated ok but the BIOS update froze the system up and the computer shut down .,Drivers updated ok but the BIOS update froze the MASK up and the computer shut down .,0
HP Technical Support ,Spent 2 hours on phone with HP Technical Support .,Spent 2 hours on phone with MASK .,1
browser ,"Speaking of the browser , it too has problems .","Speaking of the MASK , it too has problems .",0
keyboard ,The keyboard is too slick .,The MASK is too slick .,0
virus scan ,Nightly my computer defrags itself and runs a virus scan .,Nightly my computer defrags itself and runs a MASK .,1
9 punds ,"It 's like 9 punds , but if you can look past it , it 's GREAT !","It 's like MASK , but if you can look past it , it 's GREAT !",0
program ,It 's just as fast with one program open as it is with sixteen open .,It 's just as fast with one MASK open as it is with sixteen open .,1
warrenty ,"Still under warrenty so called Toshiba , no help at all .","Still under MASK so called Toshiba , no help at all .",0
Toshiba Warranty ,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty .,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the MASK .,0
Quality ,Amazing Quality !,Amazing MASK !,2
webcam ,The fact that you can spend over $ 100 on just a webcam underscores the value of this machine .,The fact that you can spend over $ 100 on just a MASK underscores the value of this machine .,1
value ,The fact that you can spend over $ 100 on just a webcam underscores the value of this machine .,The fact that you can spend over $ 100 on just a webcam underscores the MASK of this machine .,2
internet ,"I mainly use it for email , internet , and managing personal files ( pics , vids , etc . ) .","I mainly use it for email , MASK , and managing personal files ( pics , vids , etc . ) .",1
managing personal files ,"I mainly use it for email , internet , and managing personal files ( pics , vids , etc . ) .","I mainly use it for email , internet , and MASK ( pics , vids , etc . ) .",1
motherboard ,"A month or so ago , the freaking motherboard just died .","A month or so ago , the freaking MASK just died .",0
system ,"The system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .","The MASK it comes with does not work properly , so when trying to fix the problems with it it started not working at all .",0
charger ,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,Then after 4 or so months the MASK stopped working so I was forced to go out and buy new hardware just to keep this computer running .,0
hardware ,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running .,Then after 4 or so months the charger stopped working so I was forced to go out and buy new MASK just to keep this computer running .,0
force quit ,"If a website ever freezes ( which is rare ) , its really easy to force quit .","If a website ever freezes ( which is rare ) , its really easy to MASK .",2
works ,It rarely works and when it does it 's incredibly slow .,It rarely MASK and when it does it 's incredibly slow .,0
Windows 7 ,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,I also enjoy the fact that my MacBook Pro laptop allows me to run MASK on it by using the VMWare program .,2
VMWare program ,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program .,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the MASK .,1
operating system ,"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !","It 's so much easier to navigate through the MASK , to find files , and it runs a lot faster !",2
runs ,"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !","It 's so much easier to navigate through the operating system , to find files , and it MASK a lot faster !",2
navigate ,"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !","It 's so much easier to MASK through the operating system , to find files , and it runs a lot faster !",2
find files ,"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !","It 's so much easier to navigate through the operating system , to MASK , and it runs a lot faster !",2
warrenty ,Purchased a Toshiba Lap top it worked good until just after the warrenty went out .,Purchased a Toshiba Lap top it worked good until just after the MASK went out .,0
extended warranty ,"I wanted to purchase the extended warranty and they refused , because they knew it was trouble .","I wanted to purchase the MASK and they refused , because they knew it was trouble .",1
memory ,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,We upgraded the MASK to four gigabytes in order to take advantage of the performace increase in speed .,1
speed ,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in MASK .,2
performace ,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,We upgraded the memory to four gigabytes in order to take advantage of the MASK increase in speed .,2
opening my Documents folder ,"The reality was , it heated up very quickly , and took way too long to do simple things , like opening my Documents folder .","The reality was , it heated up very quickly , and took way too long to do simple things , like MASK .",0
operating systems ,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .,I had always used PCs and been constantly frustrated by the crashing and the poorly designed MASK that were never very intuitive .,0
charger ,"Then , within 5 months , the charger crapped out on me .","Then , within 5 months , the MASK crapped out on me .",0
speed ,And if you have a iphone or ipod touch you can connect and download songs to it at high speed .,And if you have a iphone or ipod touch you can connect and download songs to it at high MASK .,2
glass touchpad ,I love the glass touchpad .,I love the MASK .,2
hard drive ,Â  I continued to take the computer in AGAIN and they replaced the hard drive e and mother board yet again .,Â  I continued to take the computer in AGAIN and they replaced the MASK e and mother board yet again .,0
mother board ,Â  I continued to take the computer in AGAIN and they replaced the hard drive and mother board d yet again .,Â  I continued to take the computer in AGAIN and they replaced the hard drive and MASK d yet again .,0
external speaker ,I am using the external speaker - sound is good .,I am using the MASK - sound is good .,2
sound ,I am using the external speaker- sound is good .,I am using the external speaker- MASK is good .,2
battery life ,"still testing the battery life as i thought it would be better , but am very happy with the upgrade .","still testing the MASK as i thought it would be better , but am very happy with the upgrade .",0
hardware ,"Then HP sends it back to me with the hardware screwed up , not able to connect .","Then HP sends it back to me with the MASK screwed up , not able to connect .",0
shipping ,"Oh yeah , do n't forget the expensive shipping to and from HP .","Oh yeah , do n't forget the expensive MASK to and from HP .",0
Mac software ,"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .","Everything is so easy to use , MASK is just so much simpler than Microsoft software .",2
Microsoft software ,"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .","Everything is so easy to use , Mac software is just so much simpler than MASK .",0
use ,"Everything is so easy to use , Mac software is just so much simpler than Microsoft software .","Everything is so easy to MASK , Mac software is just so much simpler than Microsoft software .",2
delete key ,"And if you do a lot of writing , editing is a problem since there is no forward delete key .","And if you do a lot of writing , editing is a problem since there is no forward MASK .",0
editing ,"And if you do a lot of writing , editing is a problem since there is no forward delete key .","And if you do a lot of writing , MASK is a problem since there is no forward delete key .",0
use ,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,Its ease of MASK and the top service from Apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,2
service ,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,Its ease of use and the top MASK from Apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,2
phone assistance ,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- can not be beat .,Its ease of use and the top service from Apple- be it their MASK or bellying up to the genius bar- can not be beat .,2
genius bar ,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar - can not be beat .,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the MASK - can not be beat .,2
battery life ,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","It has a 10 hour MASK when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",2
battery life ,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","It has a 10 hour MASK when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",2
gaming ,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of MASK and movie playing it 'll have a battery life of just over 5 hours .",1
movie playing ,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and MASK it 'll have a battery life of just over 5 hours .",1
web browsing ,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","It has a 10 hour battery life when you 're doing MASK and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",1
word editing ,"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .","It has a 10 hour battery life when you 're doing web browsing and MASK , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",1
recovery discs ,"Acer has set me up with FREE recovery discs , when they are available since I asked .","Acer has set me up with FREE MASK , when they are available since I asked .",2
Office Max 's `` Max Assurance '' ,I also purchased Office Max 's `` Max Assurance '' with the `` no lemon '' clause .,I also purchased MASK with the `` no lemon '' clause .,1
iMac backup disc ,I eventually did the migration from my iMac backup disc which uses USB .,I eventually did the migration from my MASK which uses USB .,1
USB ,I eventually did the migration from my iMac backup disc which uses USB .,I eventually did the migration from my iMac backup disc which uses MASK .,1
battery life ,"The battery life seems to be very good , and have had no issues with it .","The MASK seems to be very good , and have had no issues with it .",2
battery timer ,Enabling the battery timer is useless .,Enabling the MASK is useless .,0
Temperatures ,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures .,MASK on the outside were alright but i did not track in Core Processing Unit temperatures .,1
Core Processing Unit temperatures ,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures .,Temperatures on the outside were alright but i did not track in MASK .,1
service ,Going to bring it to service today .,Going to bring it to MASK today .,1
virus protection for Mac ,"There is no need to purchase virus protection for Mac , which saves me a lot of time and money .","There is no need to purchase MASK , which saves me a lot of time and money .",2
bluetooth ,"But we had paid for bluetooth , and there was none .","But we had paid for MASK , and there was none .",0
LG notebook service center ,"So , I paid a visit to LG notebook service center at Alexandra Road , hoping they can make the hinge tighter .","So , I paid a visit to MASK at Alexandra Road , hoping they can make the hinge tighter .",1
hinge ,"So , I paid a visit to LG notebook service center at Alexandra Road , hoping they can make the hinge tighter .","So , I paid a visit to LG notebook service center at Alexandra Road , hoping they can make the MASK tighter .",0
games ,"My daughter uses it for games , email , facebook , pictures and music .","My daughter uses it for MASK , email , facebook , pictures and music .",1
responds ,"It is always reliable , never bugged and responds well .","It is always reliable , never bugged and MASK well .",2
motherboard ,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard .,After about a week I finally got it back and was told that the MASK had failed and so they installed a new motherboard .,0
motherboard ,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard .,After about a week I finally got it back and was told that the MASK had failed and so they installed a new motherboard .,1
hardware ,"It was slow , locked up , and also had hardware replaced after only 2 months !","It was slow , locked up , and also had MASK replaced after only 2 months !",0
motherboard ,they had to replace the motherboard in April,they had to replace the MASK in April,0
use ,"Yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in use .","Yes , the computer was light weight , less expensive than the average laptop , and was pretty self explantory in MASK .",2
representive at Microsoft ,"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .","Also , if you need to talk to a MASK , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .",0
system ,"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .","Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed MASK , which most people would have went with XP if they could .",0
XP ,"Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with XP if they could .","Also , if you need to talk to a representive at Microsoft , there is a charge , which I believe is robbery , since you are charged enormous amounts for a very badly designed system , which most people would have went with MASK if they could .",2
WIndows 7 ,I love WIndows 7 which is a vast improvment over Vista .,I love MASK which is a vast improvment over Vista .,2
Vista ,I love WIndows 7 which is a vast improvment over Vista .,I love WIndows 7 which is a vast improvment over MASK .,0
Keyboard ,"Keyboard is great , very quiet for all the typing that I do .","MASK is great , very quiet for all the typing that I do .",2
Dell 's customer disservice ,Dell 's customer disservice is an insult to it 's customers who pay good money for shoddy products .,MASK is an insult to it 's customers who pay good money for shoddy products .,0
cooling system ,"It had a cooling system malfunction after 10 minutes of general use , and would not move past this error .","It had a MASK malfunction after 10 minutes of general use , and would not move past this error .",0
use ,"It had a cooling system malfunction after 10 minutes of general use , and would not move past this error .","It had a cooling system malfunction after 10 minutes of general MASK , and would not move past this error .",1
quad core I7 ,"I can render AVCHD movies with little effort , which was a problem for most pc 's unless you had a quad core I7 .","I can render AVCHD movies with little effort , which was a problem for most pc 's unless you had a MASK .",2
sales associate ,"After talking it over with the very knowledgeable sales associate , I chose the MacBook Pro over the white MacBook .","After talking it over with the very knowledgeable MASK , I chose the MacBook Pro over the white MacBook .",2
system ,"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple ;","If you really want a bang-up MASK and do n't need to run Windows applications , go with an Apple ;",2
Windows applications ,"If you really want a bang-up system and do n't need to run Windows applications , go with an Apple ;","If you really want a bang-up system and do n't need to run MASK , go with an Apple ;",1
virus program ,You wo n't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet .,You wo n't have to spend gobs of money on some inefficient MASK that needs to be updated every month and that constantly drains your wallet .,0
weighed ,It weighed like seven pounds or something like that .,It MASK like seven pounds or something like that .,1
seven pounds ,It weighed like seven pounds or something like that .,It weighed like MASK or something like that .,1
battery ,"2 months later , the battery went .","2 months later , the MASK went .",0
bag ,You may need to special order a bag .,You may need to special order a MASK .,1
color ,It 's color is even cool .,It 's MASK is even cool .,2
keys ,keys are all in weird places and is way too large for the way it is designed .,MASK are all in weird places and is way too large for the way it is designed .,0
designed ,keys are all in weird places and is way too large for the way it is designed .,keys are all in weird places and is way too large for the way it is MASK .,0
style ,"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .","Yes , a Mac is much more money than the average laptop out there , but there is no comparison in MASK , speed and just cool factor .",2
speed ,"Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , speed and just cool factor .","Yes , a Mac is much more money than the average laptop out there , but there is no comparison in style , MASK and just cool factor .",2
keyboard ,The keyboard feels good and I type just fine on it .,The MASK feels good and I type just fine on it .,2
mousepad ,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing .,I thought the white Mac computers looked dirty too quicly where you use the MASK and where you place your hands when typing .,1
battery ,"And not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .","And not to mention after using it for a few months or so , the MASK will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .",0
sales ,"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","BEST BUY - 5 STARS + + + ( MASK , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",2
service ,"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","BEST BUY - 5 STARS + + + ( sales , MASK , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",2
DELL SUPPORT ,"BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","BEST BUY - 5 STARS + + + ( sales , service , respect for old men who are n't familiar with the technology ) DELL COMPUTERS - 3 stars MASK - owes a me a couple",2
hard drive ,"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .","no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the MASK , or the motherboard .",1
motherboard ,"no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the motherboard .","no complaints with their desktop , and maybe because it just sits on your desktop , and you do n't carry it around , which could jar the hard drive , or the MASK .",1
speed ,"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .","Yes , they cost more , but they more than make up for it in MASK , construction quality , and longevity .",2
construction quality ,"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .","Yes , they cost more , but they more than make up for it in speed , MASK , and longevity .",2
longevity ,"Yes , they cost more , but they more than make up for it in speed , construction quality , and longevity .","Yes , they cost more , but they more than make up for it in speed , construction quality , and MASK .",2
