target,text,textcon,text,label
dishes,The menu is limited but almost all of the T are excellent .,The menu is limited but almost all of the ,are excellent .,2
sake martini,Not too crazy about their T .,Not too crazy about their ,.,0
bagels,"Great T , spreads and a good place to hang out in .",Great ,", spreads and a good place to hang out in .",2
spreads,"Great bagels , T and a good place to hang out in .","Great bagels , ",and a good place to hang out in .,2
table,One thing I liked about this place is that I never felt rushed or pressured to give up my T ot incoming guests .,One thing I liked about this place is that I never felt rushed or pressured to give up my ,ot incoming guests .,1
food,"Unfortunately , the T is outstanding , but everything else about this restaurant is the pits .","Unfortunately , the ","is outstanding , but everything else about this restaurant is the pits .",2
meal,We always have a delicious T and always leave feeling satisfied .,We always have a delicious ,and always leave feeling satisfied .,2
ingredients,"Dip the T in with your chopsticks , swirl them around , and eat .",Dip the ,"in with your chopsticks , swirl them around , and eat .",1
chopsticks,"Dip the ingredients in with your T , swirl them around , and eat .",Dip the ingredients in with your ,", swirl them around , and eat .",1
garden terrace,First went here to enjoy their T .,First went here to enjoy their ,.,2
pizza,The T was pretty good and huge .,The ,was pretty good and huge .,2
cuisine,"The T from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .",The ,"from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .",1
atmosphere,I almost hesititate to write a review because the T was so great and I would hate for it too become to crowded .,I almost hesititate to write a review because the ,was so great and I would hate for it too become to crowded .,2
service,They are often crowded on the weekends but they are efficient and accurate with their T .,They are often crowded on the weekends but they are efficient and accurate with their ,.,2
crowded,They are often T on the weekends but they are efficient and accurate with their service .,They are often ,on the weekends but they are efficient and accurate with their service .,0
dish,All my co-workers were amazed at how small the T was .,All my co-workers were amazed at how small the ,was .,0
atmosphere,"The T is unheralded , the service impecible , and the food magnificant .",The ,"is unheralded , the service impecible , and the food magnificant .",2
service,"The atmosphere is unheralded , the T impecible , and the food magnificant .","The atmosphere is unheralded , the ","impecible , and the food magnificant .",2
food,"The atmosphere is unheralded , the service impecible , and the T magnificant .","The atmosphere is unheralded , the service impecible , and the ",magnificant .,2
grilled branzino,"We ordered the special , T , that was so infused with bone , it was difficult to eat .","We ordered the special , ",", that was so infused with bone , it was difficult to eat .",0
wait staff,"The T is friendly , and the food has gotten better and better !",The ,"is friendly , and the food has gotten better and better !",2
food,"The wait staff is friendly , and the T has gotten better and better !","The wait staff is friendly , and the ",has gotten better and better !,2
vibe,"It may be a bit packed on weekends , but the T is good and it is the best French food you will find in the area .","It may be a bit packed on weekends , but the ",is good and it is the best French food you will find in the area .,2
French food,"It may be a bit packed on weekends , but the vibe is good and it is the best T you will find in the area .","It may be a bit packed on weekends , but the vibe is good and it is the best ",you will find in the area .,2
packed,"It may be a bit T on weekends , but the vibe is good and it is the best French food you will find in the area .",It may be a bit ,"on weekends , but the vibe is good and it is the best French food you will find in the area .",0
pizza,Right off the L in Brooklyn this is a nice cozy place with good T .,Right off the L in Brooklyn this is a nice cozy place with good ,.,2
place,Right off the L in Brooklyn this is a nice cozy T with good pizza .,Right off the L in Brooklyn this is a nice cozy ,with good pizza .,2
pre-theater menu,Le Pere Pinard has a $ 15 T that is outstanding .,Le Pere Pinard has a $ 15 ,that is outstanding .,2
delivery,I also ordered for T and the restaurant forgot half the order .,I also ordered for ,and the restaurant forgot half the order .,0
order,I also Ted for delivery and the restaurant forgot half the order .,I also ,ed for delivery and the restaurant forgot half the order .,0
server,Our T checked on us maybe twice during the entire meal .,Our ,checked on us maybe twice during the entire meal .,0
meal,Our server checked on us maybe twice during the entire T .,Our server checked on us maybe twice during the entire ,.,1
scents,The strong T coming from the left and right of me negatively affected my taste buds .,The strong ,coming from the left and right of me negatively affected my taste buds .,0
lobster sandwich,We had the T and it was FANTASTIC .,We had the ,and it was FANTASTIC .,2
check,"Had we been stalling I could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a T yet !","Had we been stalling I could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a ",yet !,0
price,"Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the T you pay for them .","Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the ",you pay for them .,2
shell crab,"Though the Spider Roll may look like a challenge to eat , with soft T hanging out of the roll , it is well worth the price you pay for them .","Though the Spider Roll may look like a challenge to eat , with soft ","hanging out of the roll , it is well worth the price you pay for them .",2
Deep Fried Skewers,T are good and still rare to find in NYC .,a,are good and still rare to find in NYC .,2
reservations,"I have tried to make T , but both times , the hostess did n't have my name .",I have tried to make ,", but both times , the hostess did n't have my name .",1
hostess,"I have tried to make reservations , but both times , the T did n't have my name .","I have tried to make reservations , but both times , the ",did n't have my name .,0
rice dishes,I also recommend the T or the different varieties of congee ( rice porridge ) .,I also recommend the ,or the different varieties of congee ( rice porridge ) .,2
congee ( rice porridge ),I also recommend the rice dishes or the different varieties of T .,I also recommend the rice dishes or the different varieties of ,.,2
tuna tartar appetizer,Their T is to die for .,Their ,is to die for .,2
chef,"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - T 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - ",'s passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .,2
fish dishes,"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the T and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the ",and soups .,2
soups,"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and T .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and ",.,2
kitchen,"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and T 's precise execution ) is most evident in the fish dishes and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion ( and ",'s precise execution ) is most evident in the fish dishes and soups .,2
cuisine,"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine T - chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine ",- chef 's passion ( and kitchen 's precise execution ) is most evident in the fish dishes and soups .,2
wine,"If you love T and cheese and delicious french fare , you 'll love Artisanal !",If you love ,"and cheese and delicious french fare , you 'll love Artisanal !",2
french fare,"If you love wine and cheese and delicious T , you 'll love Artisanal !",If you love wine and cheese and delicious ,", you 'll love Artisanal !",2
cheese,"If you love wine and T and delicious french fare , you 'll love Artisanal !",If you love wine and ,"and delicious french fare , you 'll love Artisanal !",2
Indian food,I love T and consider myself to be quite an expert on it .,I love ,and consider myself to be quite an expert on it .,2
baby pizzas,Some T get their wish .,Some ,get their wish .,1
waiting,Overall A oh ya even though there is T it is deff worth it,Overall A oh ya even though there is ,it is deff worth it,0
lava cake dessert,The T was incredible and I recommend it .,The ,was incredible and I recommend it .,2
baby pizzas,VT is what T hope to be when they grow up .,VT is what ,hope to be when they grow up .,1
service,"From the terrible T , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",From the terrible ,", to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",0
food,"From the terrible service , to the bland T , not to mention the unaccommodating managers , the overall experience was horrible .","From the terrible service , to the bland ",", not to mention the unaccommodating managers , the overall experience was horrible .",0
managers,"From the terrible service , to the bland food , not to mention the unaccommodating T , the overall experience was horrible .","From the terrible service , to the bland food , not to mention the unaccommodating ",", the overall experience was horrible .",0
food,Lahore is a great place to duck into late-night when you need some really tasty T on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,Lahore is a great place to duck into late-night when you need some really tasty ,on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,2
food,Lahore is a great place to duck into late-night when you need some really tasty T on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,Lahore is a great place to duck into late-night when you need some really tasty ,on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,2
table,The last time I went we were seated at a T in a corridor next to the kitchen .,The last time I went we were seated at a ,in a corridor next to the kitchen .,0
selection of wines,good T ranging from affordable to high end .,good ,ranging from affordable to high end .,2
Italian decor,"Nice restaurant overall , with classic upscale T .","Nice restaurant overall , with classic upscale ",.,2
food,Not impressed with the T .,Not impressed with the ,.,0
dining experience,The entire T was wonderful !,The entire ,was wonderful !,2
wine selection,The T ( by the glass and bottle ) is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,The ,( by the glass and bottle ) is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,2
reservation,The wine selection ( by the glass and bottle ) is wonderful and I always recommend that friends make a T if they 're going to be in town .,The wine selection ( by the glass and bottle ) is wonderful and I always recommend that friends make a ,if they 're going to be in town .,1
Service,T is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .,a,is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d ' apologized and regularly kept us apprised of progress .,2
maitre,Service is highly refined : our seating was delayed 35 minutes past our reservation and the T d ' apologized and regularly kept us apprised of progress .,Service is highly refined : our seating was delayed 35 minutes past our reservation and the ,d ' apologized and regularly kept us apprised of progress .,2
reservation,Service is highly refined : our seating was delayed 35 minutes past our T and the maitre d ' apologized and regularly kept us apprised of progress .,Service is highly refined : our seating was delayed 35 minutes past our ,and the maitre d ' apologized and regularly kept us apprised of progress .,0
panang duck,"Order the T , it 's fantastic .",Order the ,", it 's fantastic .",2
raw vegatables,"Food is usually very good , though ocasionally I wondered about freshmess of T in side orders .","Food is usually very good , though ocasionally I wondered about freshmess of ",in side orders .,0
service,"Other than the crappy T from two individuals , it 's great .",Other than the crappy ,"from two individuals , it 's great .",0
Indian,They have authentic T at amazin prices .,They have authentic ,at amazin prices .,2
prices,They have authentic Indian at amazin T .,They have authentic Indian at amazin ,.,2
Ambiance,T - relaxed and stylish .,a,- relaxed and stylish .,2
BBQ Salmon,"Luckily we saved room for the T , Sea Bass and Crispy Duck .",Luckily we saved room for the ,", Sea Bass and Crispy Duck .",2
Sea Bass,"Luckily we saved room for the BBQ Salmon , T and Crispy Duck .","Luckily we saved room for the BBQ Salmon , ",and Crispy Duck .,2
Crispy Duck,"Luckily we saved room for the BBQ Salmon , Sea Bass and T .","Luckily we saved room for the BBQ Salmon , Sea Bass and ",.,2
ingredients,"Yes , they use fancy T , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","Yes , they use fancy ",", but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",2
ingredients,"Yes , they use fancy T , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","Yes , they use fancy ",", but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",2
pizza,"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good T unless someone knows how to get the crust right .","Yes , they use fancy ingredients , but even fancy ingredients do n't make for good ",unless someone knows how to get the crust right .,0
crust,"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the T right .","Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the ",right .,1
kababs,and yes Dal Bukhara is so dam good and so are all the T .,and yes Dal Bukhara is so dam good and so are all the ,.,2
Dal Bukhara,and yes T is so dam good and so are all the kababs .,and yes ,is so dam good and so are all the kababs .,2
eating,I look forward to T here again,I look forward to ,here again,2
taste,I 've been coming here as a child and always come back for the T .,I 've been coming here as a child and always come back for the ,.,2
meal,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good T at a fair price .,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good ,at a fair price .,2
price,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair T .,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair ,.,2
glass of prosecco,"A glass of Leaping Lizard , a T , and the mussels had everything happy .","A glass of Leaping Lizard , a ",", and the mussels had everything happy .",2
mussels,"A glass of Leaping Lizard , a glass of prosecco , and the T had everything happy .","A glass of Leaping Lizard , a glass of prosecco , and the ",had everything happy .,2
glass of Leaping Lizard,"A T , a glass of prosecco , and the mussels had everything happy .",A ,", a glass of prosecco , and the mussels had everything happy .",2
Food,"T was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .",a,"was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .",1
creme brulee,"Food was average and T was awful - the sugar was charred , not caramelized and smelled of kerosene .",Food was average and ,"was awful - the sugar was charred , not caramelized and smelled of kerosene .",0
sugar,"Food was average and creme brulee was awful - the T was charred , not caramelized and smelled of kerosene .",Food was average and creme brulee was awful - the ,"was charred , not caramelized and smelled of kerosene .",0
food,The T always tastes fresh and served promptly .,The ,always tastes fresh and served promptly .,2
served,The food always tastes fresh and T promptly .,The food always tastes fresh and ,promptly .,2
pizza,The T here is delicious .,The ,here is delicious .,2
Pizza,"T and garlic knots are great as well , I order from them quite often and the delivery is always super quick !",a,"and garlic knots are great as well , I order from them quite often and the delivery is always super quick !",2
delivery,"Pizza and garlic knots are great as well , I order from them quite often and the T is always super quick !","Pizza and garlic knots are great as well , I order from them quite often and the ",is always super quick !,2
garlic knots,"Pizza and T are great as well , I order from them quite often and the delivery is always super quick !",Pizza and ,"are great as well , I order from them quite often and the delivery is always super quick !",2
chinese food,"For great T nearby , you have Wu Liang Ye and Grand Sichuan just a block away .",For great ,"nearby , you have Wu Liang Ye and Grand Sichuan just a block away .",2
service,But who says Murray 's is anything about T .,But who says Murray 's is anything about ,.,1
food,"This place is really trendi but they have forgotten about the most important part of a restaurant , the T .","This place is really trendi but they have forgotten about the most important part of a restaurant , the ",.,0
chef,Hats off to the T .,Hats off to the ,.,2
