2-faced,a+
bestial,comforting
betray,comfy
betrayal,commend
betrayals,commendable
betrayer,commendably
betraying,commitment
betrays,commodious
bewail,compact
beware,compactly
bewilder,compassion
bewildered,compassionate
bewildering,compatible
bewilderingly,competitive
bewilderment,complement
bewitch,complementary
bias,complemented
biased,complements
biases,compliant
bicker,compliment
bickering,complimentary
bid-rigging,comprehensive
bigotries,conciliate
bigotry,conciliatory
bitch,concise
bitchy,confidence
biting,confident
bitingly,congenial
bitter,congratulate
bitterly,congratulation
bitterness,congratulations
bizarre,congratulatory
blab,conscientious
blabber,considerate
blackmail,consistent
blah,consistently
blame,constructive
blameworthy,consummate
bland,contentment
blandish,continuity
blaspheme,contrasty
blasphemous,contribution
blasphemy,convenience
blasted,convenient
blatant,conveniently
blatantly,convience
blather,convienient
bleak,convient
bleakly,convincing
bleakness,convincingly
bleed,cool
bleeding,coolest
bleeds,cooperative
blemish,cooperatively
blind,cornerstone
blinding,correct
blindingly,correctly
blindside,cost-effective
blister,cost-saving
blistering,counter-attack
bloated,counter-attacks
blockage,courage
blockhead,courageous
bloodshed,courageously
bloodthirsty,courageousness
bloody,courteous
blotchy,courtly
blow,covenant
blunder,cozy
blundering,creative
blunders,credence
blunt,credible
blur,crisp
bluring,crisper
blurred,cure
blurring,cure-all
blurry,cushy
blurs,cute
blurt,cuteness
boastful,danke
boggle,danken
bogus,daring
boil,daringly
boiling,darling
boisterous,dashing
bomb,dauntless
bombard,dawn
bombardment,dazzle
bombastic,dazzled
bondage,dazzling
bonkers,dead-cheap
bore,dead-on
bored,decency
boredom,decent
bores,decisive
boring,decisiveness
botch,dedicated
bother,defeat
bothered,defeated
bothering,defeating
bothers,defeats
bothersome,defender
bowdlerize,deference
boycott,deft
braggart,deginified
bragger,delectable
brainless,delicacy
brainwash,delicate
brash,delicious
brashly,delight
brashness,delighted
brat,delightful
bravado,delightfully
brazen,delightfulness
brazenly,dependable
brazenness,dependably
breach,deservedly
break,deserving
break-up,desirable
break-ups,desiring
breakdown,desirous
breaking,destiny
breaks,detachable
breakup,devout
breakups,dexterous
bribery,dexterously
brimstone,dextrous
bristle,dignified
brittle,dignify
broke,dignity
broken,diligence
broken-hearted,diligent
brood,diligently
browbeat,diplomatic
bruise,dirt-cheap
bruised,distinction
bruises,distinctive
bruising,distinguished
brusque,diversified
brutal,divine
brutalising,divinely
brutalities,dominate
brutality,dominated
brutalize,dominates
brutalizing,dote
brutally,dotingly
brute,doubtless
brutish,dreamland
bs,dumbfounded
buckle,dumbfounding
bug,dummy-proof
bugging,durable
buggy,dynamic
bugs,eager
bulkier,eagerly
bulkiness,eagerness
bulky,earnest
bulkyness,earnestly
bull****,earnestness
bull----,ease
bullies,eased
bullshit,eases
bullshyt,easier
bully,easiest
bullying,easiness
bullyingly,easing
bum,easy
bump,easy-to-use
bumped,easygoing
bumping,ebullience
bumpping,ebullient
bumps,ebulliently
bumpy,ecenomical
bungle,economical
bungler,ecstasies
bungling,ecstasy
bunk,ecstatic
burden,ecstatically
burdensome,edify
burdensomely,educated
burn,effective
burned,effectively
burning,effectiveness
burns,effectual
bust,efficacious
busts,efficient
busybody,efficiently
butcher,effortless
butchery,effortlessly
buzzing,effusion
byzantine,effusive
cackle,effusively
calamities,effusiveness
calamitous,elan
calamitously,elate
calamity,elated
callous,elatedly
calumniate,elation
calumniation,electrify
calumnies,elegance
calumnious,elegant
calumniously,elegantly
calumny,elevate
cancer,elite
cancerous,eloquence
cannibal,eloquent
cannibalize,eloquently
capitulate,embolden
capricious,eminence
capriciously,eminent
capriciousness,empathize
capsize,empathy
careless,empower
carelessness,empowerment
caricature,enchant
carnage,enchanted
carp,enchanting
cartoonish,enchantingly
cash-strapped,encourage
castigate,encouragement
castrated,encouraging
casualty,encouragingly
cataclysm,endear
cataclysmal,endearing
cataclysmic,endorse
cataclysmically,endorsed
catastrophe,endorsement
catastrophes,endorses
catastrophic,endorsing
catastrophically,energetic
catastrophies,energize
caustic,energy-efficient
caustically,energy-saving
cautionary,engaging
cave,engrossing
censure,enhance
chafe,enhanced
chaff,enhancement
chagrin,enhances
challenging,enjoy
chaos,enjoyable
chaotic,enjoyably
chasten,enjoyed
chastise,enjoying
chastisement,enjoyment
chatter,enjoys
chatterbox,enlighten
cheap,enlightenment
cheapen,enliven
cheaply,ennoble
cheat,enough
cheated,enrapt
cheater,enrapture
cheating,enraptured
cheats,enrich
checkered,enrichment
cheerless,enterprising
cheesy,entertain
chide,entertaining
childish,entertains
chill,enthral
chilly,enthrall
chintzy,enthralled
choke,enthuse
choleric,enthusiasm
choppy,enthusiast
chore,enthusiastic
chronic,enthusiastically
chunky,entice
clamor,enticed
clamorous,enticing
clash,enticingly
cliche,entranced
cliched,entrancing
clique,entrust
clog,enviable
clogged,enviably
clogs,envious
cloud,enviously
clouding,enviousness
cloudy,envy
clueless,equitable
clumsy,ergonomical
clunky,err-free
coarse,erudite
cocky,ethical
coerce,eulogize
coercion,euphoria
coercive,euphoric
cold,euphorically
coldly,evaluative
collapse,evenly
collude,eventful
collusion,everlasting
combative,evocative
combust,exalt
comical,exaltation
commiserate,exalted
commonplace,exaltedly
commotion,exalting
commotions,exaltingly
complacent,examplar
complain,examplary
complained,excallent
complaining,exceed
complains,exceeded
complaint,exceeding
complaints,exceedingly
complex,exceeds
complicated,excel
complication,exceled
complicit,excelent
compulsion,excellant
compulsive,excelled
concede,excellence
conceded,excellency
conceit,excellent
conceited,excellently
concen,excels
concens,exceptional
concern,exceptionally
concerned,excite
concerns,excited
concession,excitedly
concessions,excitedness
condemn,excitement
condemnable,excites
condemnation,exciting
condemned,excitingly
condemns,exellent
condescend,exemplar
condescending,exemplary
condescendingly,exhilarate
condescension,exhilarating
confess,exhilaratingly
confession,exhilaration
confessions,exonerate
confined,expansive
conflict,expeditiously
conflicted,expertly
conflicting,exquisite
conflicts,exquisitely
confound,extol
confounded,extoll
confounding,extraordinarily
confront,extraordinary
confrontation,exuberance
confrontational,exuberant
confuse,exuberantly
confused,exult
confuses,exultant
confusing,exultation
confusion,exultingly
confusions,eye-catch
congested,eye-catching
congestion,eyecatch
cons,eyecatching
conscons,fabulous
conservative,fabulously
conspicuous,facilitate
conspicuously,fair
conspiracies,fairly
conspiracy,fairness
conspirator,faith
conspiratorial,faithful
conspire,faithfully
consternation,faithfulness
contagious,fame
contaminate,famed
contaminated,famous
contaminates,famously
contaminating,fancier
contamination,fancinating
contempt,fancy
contemptible,fanfare
contemptuous,fans
contemptuously,fantastic
contend,fantastically
contention,fascinate
contentious,fascinating
contort,fascinatingly
contortions,fascination
contradict,fashionable
contradiction,fashionably
contradictory,fast
contrariness,fast-growing
contravene,fast-paced
contrive,faster
contrived,fastest
controversial,fastest-growing
controversy,faultless
convoluted,fav
corrode,fave
corrosion,favor
corrosions,favorable
corrosive,favored
corrupt,favorite
corrupted,favorited
corrupting,favour
corruption,fearless
corrupts,fearlessly
corruptted,feasible
costlier,feasibly
costly,feat
counter-productive,feature-rich
counterproductive,fecilitous
coupists,feisty
covetous,felicitate
coward,felicitous
cowardly,felicity
crabby,fertile
crack,fervent
cracked,fervently
cracks,fervid
craftily,fervidly
craftly,fervor
crafty,festive
cramp,fidelity
cramped,fiery
cramping,fine
cranky,fine-looking
crap,finely
crappy,finer
craps,finest
crash,firmer
crashed,first-class
crashes,first-in-class
crashing,first-rate
crass,flashy
craven,flatter
cravenly,flattering
craze,flatteringly
crazily,flawless
craziness,flawlessly
crazy,flexibility
creak,flexible
creaking,flourish
creaks,flourishing
credulous,fluent
creep,flutter
creeping,fond
creeps,fondly
creepy,fondness
crept,foolproof
crime,foremost
criminal,foresight
cringe,formidable
cringed,fortitude
cringes,fortuitous
cripple,fortuitously
crippled,fortunate
cripples,fortunately
crippling,fortune
crisis,fragrant
critic,free
critical,freed
criticism,freedom
criticisms,freedoms
criticize,fresh
criticized,fresher
criticizing,freshest
critics,friendliness
cronyism,friendly
crook,frolic
crooked,frugal
crooks,fruitful
crowded,ftw
crowdedness,fulfillment
crude,fun
cruel,futurestic
crueler,futuristic
cruelest,gaiety
cruelly,gaily
cruelness,gain
cruelties,gained
cruelty,gainful
crumble,gainfully
crumbling,gaining
crummy,gains
crumple,gallant
crumpled,gallantly
crumples,galore
crush,geekier
crushed,geeky
crushing,gem
cry,gems
culpable,generosity
culprit,generous
cumbersome,generously
cunt,genial
cunts,genius
cuplrit,gentle
curse,gentlest
cursed,genuine
curses,gifted
curt,glad
cuss,gladden
cussed,gladly
cutthroat,gladness
cynical,glamorous
cynicism,glee
d*mn,gleeful
damage,gleefully
damaged,glimmer
damages,glimmering
damaging,glisten
damn,glistening
damnable,glitter
damnably,glitz
damnation,glorify
damned,glorious
damning,gloriously
damper,glory
danger,glow
dangerous,glowing
dangerousness,glowingly
dark,god-given
darken,god-send
darkened,godlike
darker,godsend
darkness,gold
dastard,golden
dastardly,good
daunt,goodly
daunting,goodness
dauntingly,goodwill
dawdle,goood
daze,gooood
dazed,gorgeous
dead,gorgeously
deadbeat,grace
deadlock,graceful
deadly,gracefully
deadweight,gracious
deaf,graciously
dearth,graciousness
death,grand
debacle,grandeur
debase,grateful
debasement,gratefully
debaser,gratification
debatable,gratified
debauch,gratifies
debaucher,gratify
debauchery,gratifying
debilitate,gratifyingly
debilitating,gratitude
debility,great
debt,greatest
debts,greatness
decadence,grin
decadent,groundbreaking
decay,guarantee
decayed,guidance
deceit,guiltless
deceitful,gumption
deceitfully,gush
deceitfulness,gusto
deceive,gutsy
deceiver,hail
deceivers,halcyon
deceiving,hale
deception,hallmark
deceptive,hallmarks
deceptively,hallowed
declaim,handier
decline,handily
declines,hands-down
declining,handsome
decrement,handsomely
decrepit,handy
decrepitude,happier
decry,happily
defamation,happiness
defamations,happy
defamatory,hard-working
defame,hardier
defect,hardy
defective,harmless
defects,harmonious
defensive,harmoniously
defiance,harmonize
defiant,harmony
defiantly,headway
deficiencies,heal
deficiency,healthful
deficient,healthy
defile,hearten
defiler,heartening
deform,heartfelt
deformed,heartily
defrauding,heartwarming
defunct,heaven
defy,heavenly
degenerate,helped
degenerately,helpful
degeneration,helping
degradation,hero
degrade,heroic
degrading,heroically
degradingly,heroine
dehumanization,heroize
dehumanize,heros
deign,high-quality
deject,high-spirited
dejected,hilarious
dejectedly,holy
dejection,homage
delay,honest
delayed,honesty
delaying,honor
delays,honorable
delinquency,honored
delinquent,honoring
delirious,hooray
delirium,hopeful
delude,hospitable
deluded,hot
deluge,hotcake
delusion,hotcakes
delusional,hottest
delusions,hug
demean,humane
demeaning,humble
demise,humility
demolish,humor
demolisher,humorous
demon,humorously
demonic,humour
demonize,humourous
demonized,ideal
demonizes,idealize
demonizing,ideally
demoralize,idol
demoralizing,idolize
demoralizingly,idolized
denial,idyllic
denied,illuminate
denies,illuminati
denigrate,illuminating
denounce,illumine
dense,illustrious
dent,ilu
dented,imaculate
dents,imaginative
denunciate,immaculate
denunciation,immaculately
denunciations,immense
deny,impartial
denying,impartiality
deplete,impartially
deplorable,impassioned
deplorably,impeccable
deplore,impeccably
deploring,important
deploringly,impress
deprave,impressed
depraved,impresses
depravedly,impressive
deprecate,impressively
depress,impressiveness
depressed,improve
depressing,improved
depressingly,improvement
depression,improvements
depressions,improves
deprive,improving
deprived,incredible
deride,incredibly
derision,indebted
derisive,individualized
derisively,indulgence
derisiveness,indulgent
derogatory,industrious
desecrate,inestimable
desert,inestimably
desertion,inexpensive
desiccate,infallibility
desiccated,infallible
desititute,infallibly
desolate,influential
desolately,ingenious
desolation,ingeniously
despair,ingenuity
despairing,ingenuous
despairingly,ingenuously
desperate,innocuous
desperately,innovation
desperation,innovative
despicable,inpressed
despicably,insightful
despise,insightfully
despised,inspiration
despoil,inspirational
despoiler,inspire
despondence,inspiring
despondency,instantly
despondent,instructive
despondently,instrumental
despot,integral
despotic,integrated
despotism,intelligence
destabilisation,intelligent
destains,intelligible
destitute,interesting
destitution,interests
destroy,intimacy
destroyer,intimate
destruction,intricate
destructive,intrigue
desultory,intriguing
deter,intriguingly
deteriorate,intuitive
deteriorating,invaluable
deterioration,invaluablely
deterrent,inventive
detest,invigorate
detestable,invigorating
detestably,invincibility
detested,invincible
detesting,inviolable
detests,inviolate
detract,invulnerable
detracted,irreplaceable
detracting,irreproachable
detraction,irresistible
detracts,irresistibly
detriment,issue-free
detrimental,jaw-droping
devastate,jaw-dropping
devastated,jollify
devastates,jolly
devastating,jovial
devastatingly,joy
devastation,joyful
deviate,joyfully
deviation,joyous
devil,joyously
devilish,jubilant
devilishly,jubilantly
devilment,jubilate
devilry,jubilation
devious,jubiliant
deviously,judicious
deviousness,justly
devoid,keen
diabolic,keenly
diabolical,keenness
diabolically,kid-friendly
diametrically,kindliness
diappointed,kindly
diatribe,kindness
diatribes,knowledgeable
dick,kudos
dictator,large-capacity
dictatorial,laud
die,laudable
die-hard,laudably
died,lavish
dies,lavishly
difficult,law-abiding
difficulties,lawful
difficulty,lawfully
diffidence,lead
dilapidated,leading
dilemma,leads
dilly-dally,lean
dim,led
dimmer,legendary
din,leverage
ding,levity
dings,liberate
dinky,liberation
dire,liberty
direly,lifesaver
direness,light-hearted
dirt,lighter
dirtbag,likable
dirtbags,like
dirts,liked
dirty,likes
disable,liking
disabled,lionhearted
disaccord,lively
disadvantage,logical
disadvantaged,long-lasting
disadvantageous,lovable
disadvantages,lovably
disaffect,love
disaffected,loved
disaffirm,loveliness
disagree,lovely
disagreeable,lover
disagreeably,loves
disagreed,loving
disagreeing,low-cost
disagreement,low-price
disagrees,low-priced
disallow,low-risk
disapointed,lower-priced
disapointing,loyal
disapointment,loyalty
disappoint,lucid
disappointed,lucidly
disappointing,luck
disappointingly,luckier
disappointment,luckiest
disappointments,luckiness
disappoints,lucky
disapprobation,lucrative
disapproval,luminous
disapprove,lush
disapproving,luster
disarm,lustrous
disarray,luxuriant
disaster,luxuriate
disasterous,luxurious
disastrous,luxuriously
disastrously,luxury
disavow,lyrical
disavowal,magic
disbelief,magical
disbelieve,magnanimous
disbeliever,magnanimously
disclaim,magnificence
discombobulate,magnificent
discomfit,magnificently
discomfititure,majestic
discomfort,majesty
discompose,manageable
disconcert,maneuverable
disconcerted,marvel
disconcerting,marveled
disconcertingly,marvelled
disconsolate,marvellous
disconsolately,marvelous
disconsolation,marvelously
discontent,marvelousness
discontented,marvels
discontentedly,master
discontinued,masterful
discontinuity,masterfully
discontinuous,masterpiece
discord,masterpieces
discordance,masters
discordant,mastery
discountenance,matchless
discourage,mature
discouragement,maturely
discouraging,maturity
discouragingly,meaningful
discourteous,memorable
discourteously,merciful
discoutinous,mercifully
discredit,mercy
discrepant,merit
discriminate,meritorious
discrimination,merrily
discriminatory,merriment
disdain,merriness
disdained,merry
disdainful,mesmerize
disdainfully,mesmerized
disfavor,mesmerizes
disgrace,mesmerizing
disgraced,mesmerizingly
disgraceful,meticulous
disgracefully,meticulously
disgruntle,mightily
disgruntled,mighty
disgust,mind-blowing
disgusted,miracle
disgustedly,miracles
disgustful,miraculous
disgustfully,miraculously
disgusting,miraculousness
disgustingly,modern
dishearten,modest
disheartening,modesty
dishearteningly,momentous
dishonest,monumental
dishonestly,monumentally
dishonesty,morality
dishonor,motivated
dishonorable,multi-purpose
dishonorablely,navigable
disillusion,neat
disillusioned,neatest
disillusionment,neatly
disillusions,nice
disinclination,nicely
disinclined,nicer
disingenuous,nicest
disingenuously,nifty
disintegrate,nimble
disintegrated,noble
disintegrates,nobly
disintegration,noiseless
disinterest,non-violence
disinterested,non-violent
dislike,notably
disliked,noteworthy
dislikes,nourish
disliking,nourishing
dislocated,nourishment
disloyal,novelty
disloyalty,nurturing
dismal,oasis
dismally,obsession
dismalness,obsessions
dismay,obtainable
dismayed,openly
dismaying,openness
dismayingly,optimal
dismissive,optimism
dismissively,optimistic
disobedience,opulent
disobedient,orderly
disobey,originality
disoobedient,outdo
disorder,outdone
disordered,outperform
disorderly,outperformed
disorganized,outperforming
disorient,outperforms
disoriented,outshine
disown,outshone
disparage,outsmart
disparaging,outstanding
disparagingly,outstandingly
dispensable,outstrip
dispirit,outwit
dispirited,ovation
dispiritedly,overjoyed
dispiriting,overtake
displace,overtaken
displaced,overtakes
displease,overtaking
displeased,overtook
displeasing,overture
displeasure,pain-free
disproportionate,painless
disprove,painlessly
disputable,palatial
dispute,pamper
disputed,pampered
disquiet,pamperedly
disquieting,pamperedness
disquietingly,pampers
disquietude,panoramic
disregard,paradise
disregardful,paramount
disreputable,pardon
disrepute,passion
disrespect,passionate
disrespectable,passionately
disrespectablity,patience
disrespectful,patient
disrespectfully,patiently
disrespectfulness,patriot
disrespecting,patriotic
disrupt,peace
disruption,peaceable
disruptive,peaceful
diss,peacefully
dissapointed,peacekeepers
dissappointed,peach
dissappointing,peerless
dissatisfaction,pep
dissatisfactory,pepped
dissatisfied,pepping
dissatisfies,peppy
dissatisfy,peps
dissatisfying,perfect
dissed,perfection
dissemble,perfectly
dissembler,permissible
dissension,perseverance
dissent,persevere
dissenter,personages
dissention,personalized
disservice,phenomenal
disses,phenomenally
dissidence,picturesque
dissident,piety
dissidents,pinnacle
dissing,playful
dissocial,playfully
dissolute,pleasant
dissolution,pleasantly
dissonance,pleased
dissonant,pleases
dissonantly,pleasing
dissuade,pleasingly
dissuasive,pleasurable
distains,pleasurably
distaste,pleasure
distasteful,plentiful
distastefully,pluses
distort,plush
distorted,plusses
distortion,poetic
distorts,poeticize
distract,poignant
distracting,poise
distraction,poised
distraught,polished
distraughtly,polite
distraughtness,politeness
distress,popular
distressed,portable
distressing,posh
distressingly,positive
distrust,positively
distrustful,positives
distrusting,powerful
disturb,powerfully
disturbance,praise
disturbed,praiseworthy
disturbing,praising
disturbingly,pre-eminent
disunity,precious
disvalue,precise
divergent,precisely
divisive,preeminent
divisively,prefer
divisiveness,preferable
dizzing,preferably
dizzingly,prefered
dizzy,preferes
doddering,preferring
dodgey,prefers
dogged,premier
doggedly,prestige
dogmatic,prestigious
doldrums,prettily
domineer,pretty
domineering,priceless
donside,pride
doom,principled
doomed,privilege
doomsday,privileged
dope,prize
doubt,proactive
doubtful,problem-free
doubtfully,problem-solver
doubts,prodigious
douchbag,prodigiously
douchebag,prodigy
douchebags,productive
downbeat,productively
downcast,proficient
downer,proficiently
downfall,profound
downfallen,profoundly
downgrade,profuse
downhearted,profusion
downheartedly,progress
downhill,progressive
downside,prolific
downsides,prominence
downturn,prominent
downturns,promise
drab,promised
draconian,promises
draconic,promising
drag,promoter
dragged,prompt
dragging,promptly
dragoon,proper
drags,properly
drain,propitious
drained,propitiously
draining,pros
drains,prosper
drastic,prosperity
drastically,prosperous
drawback,prospros
drawbacks,protect
dread,protection
dreadful,protective
dreadfully,proud
dreadfulness,proven
dreary,proves
dripped,providence
dripping,proving
drippy,prowess
drips,prudence
drones,prudent
droop,prudently
droops,punctual
drop-out,pure
drop-outs,purify
dropout,purposeful
dropouts,quaint
drought,qualified
drowning,qualify
drunk,quicker
drunkard,quiet
drunken,quieter
dubious,radiance
dubiously,radiant
dubitable,rapid
dud,rapport
dull,rapt
dullard,rapture
dumb,raptureous
dumbfound,raptureously
dump,rapturous
dumped,rapturously
dumping,rational
dumps,razor-sharp
dunce,reachable
dungeon,readable
dungeons,readily
dupe,ready
dust,reaffirm
dusty,reaffirmation
dwindling,realistic
dying,realizable
earsplitting,reasonable
eccentric,reasonably
eccentricity,reasoned
effigy,reassurance
effrontery,reassure
egocentric,receptive
egomania,reclaim
egotism,recomend
egotistical,recommend
egotistically,recommendation
egregious,recommendations
egregiously,recommended
election-rigger,reconcile
elimination,reconciliation
emaciated,record-setting
emasculate,recover
embarrass,recovery
embarrassing,rectification
embarrassingly,rectify
embarrassment,rectifying
embattled,redeem
embroil,redeeming
embroiled,redemption
embroilment,refine
emergency,refined
emphatic,refinement
emphatically,reform
emptiness,reformed
encroach,reforming
encroachment,reforms
endanger,refresh
enemies,refreshed
enemy,refreshing
enervate,refund
enfeeble,refunded
enflame,regal
engulf,regally
enjoin,regard
enmity,rejoice
enrage,rejoicing
enraged,rejoicingly
enraging,rejuvenate
enslave,rejuvenated
entangle,rejuvenating
entanglement,relaxed
entrap,relent
entrapment,reliable
envious,reliably
enviously,relief
enviousness,relish
epidemic,remarkable
equivocal,remarkably
erase,remedy
erode,remission
erodes,remunerate
erosion,renaissance
err,renewed
errant,renown
erratic,renowned
erratically,replaceable
erroneous,reputable
erroneously,reputation
error,resilient
errors,resolute
eruptions,resound
escapade,resounding
eschew,resourceful
estranged,resourcefulness
evade,respect
evasion,respectable
evasive,respectful
evil,respectfully
evildoer,respite
evils,resplendent
eviscerate,responsibly
exacerbate,responsive
exagerate,restful
exagerated,restored
exagerates,restructure
exaggerate,restructured
exaggeration,restructuring
exasperate,retractable
exasperated,revel
exasperating,revelation
exasperatingly,revere
exasperation,reverence
excessive,reverent
excessively,reverently
exclusion,revitalize
excoriate,revival
excruciating,revive
excruciatingly,revives
excuse,revolutionary
excuses,revolutionize
execrate,revolutionized
exhaust,revolutionizes
exhausted,reward
exhaustion,rewarding
exhausts,rewardingly
exhorbitant,rich
exhort,richer
exile,richly
exorbitant,richness
exorbitantance,right
exorbitantly,righten
expel,righteous
expensive,righteously
expire,righteousness
expired,rightful
explode,rightfully
exploit,rightly
exploitation,rightness
explosive,risk-free
expropriate,robust
expropriation,rock-star
expulse,rock-stars
expunge,rockstar
exterminate,rockstars
extermination,romantic
extinguish,romantically
extort,romanticize
extortion,roomier
extraneous,roomy
extravagance,rosy
extravagant,safe
extravagantly,safely
extremism,sagacity
extremist,sagely
extremists,saint
eyesore,saintliness
f**k,saintly
fabricate,salutary
fabrication,salute
facetious,sane
facetiously,satisfactorily
fail,satisfactory
failed,satisfied
failing,satisfies
fails,satisfy
failure,satisfying
failures,satisified
faint,saver
fainthearted,savings
faithless,savior
fake,savvy
fall,scenic
fallacies,seamless
fallacious,seasoned
fallaciously,secure
fallaciousness,securely
fallacy,selective
fallen,self-determination
falling,self-respect
fallout,self-satisfaction
falls,self-sufficiency
FALSE,self-sufficient
falsehood,sensation
falsely,sensational
falsify,sensationally
falter,sensations
faltered,sensible
famine,sensibly
famished,sensitive
fanatic,serene
fanatical,serenity
fanatically,sexy
fanaticism,sharp
fanatics,sharper
fanciful,sharpest
far-fetched,shimmering
farce,shimmeringly
farcical,shine
farcical-yet-provocative,shiny
farcically,significant
farfetched,silent
fascism,simpler
fascist,simplest
fastidious,simplified
